"","en","de"
"WHO_ARE_YOU","Who are you?","Wer sind sie?"
"NEW_ACCOUNT","New account","Neuer Account"
"NAME","Name: ","Name: "
"ENTER_NAME","Enter name...","Namen eingeben..."
"OK","OK","OK"
"CANCEL","Cancel","Abbrechen"
"WHAT_DO_YOU_WANT_TO_DO","What do you want do to?","Was würden sie gerne tun?"
"MATH","Math","Mathe"
"ADD","Add (+)","Addieren (+)"
"SUBTRACT","Subtract (-)","Subtrahieren (-)"
"MULTIPLY","Multiply (*)","Multiplizieren (*)"
"DIVIDE","Divide (/)","Dividieren (/)"
"CHECK","Check","Überprüfen"
"INVALID_INPUT","Invaild input.","Falsche Eingabe."
"WRONG","Wrong.","Falsch."
"CORRECT","Correct!","Richtig!"
"ABOUT","About","Über"
"ABOUT_TEXT","[b]EduTasks[/b]
[i]Modular logic task software for education.[/i]

Author: Janosch Lion
Publisher: Janorico","[b]Tasks[/b]
[i]Modulare Logikaufgabensoftware für Bildung.[/i]

Autor: Janosch Lion
Veröffentlicher: Janorico"
